tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,distance,minutes,age,season,dayofweek,hour,over30min
2188,2016-09-23 19:09:47 UTC,2016-09-23 19:46:16 UTC,2008,Little West St & 1 Pl,40.70569254,-74.01677685,347,Greenwich St & W Houston St,40.728846,-74.008591,22233,Customer,1956,male,2665.383572,36.46666667,64,3,6,19,yes
1526,2016-09-05 22:26:35 UTC,2016-09-05 22:52:01 UTC,296,Division St & Bowery,40.71413089,-73.9970468,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,16939,Customer,1956,male,1794.752389,25.43333333,64,3,2,22,no
1382,2016-09-17 17:52:26 UTC,2016-09-17 18:15:28 UTC,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,484,W 44 St & 5 Ave,40.75500254,-73.98014437,23844,Customer,1955,female,2964.78189,23.03333333,65,3,7,17,no
1551,2016-09-04 09:52:06 UTC,2016-09-04 10:17:57 UTC,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,3231,E 67 St & Park Ave,40.7678008,-73.96592081,25714,Customer,1953,male,2544.398151,25.85,67,3,1,9,no
3073,2016-09-10 10:38:18 UTC,2016-09-10 11:29:32 UTC,525,W 34 St & 11 Ave,40.75594159,-74.0021163,410,Suffolk St & Stanton St,40.72066442,-73.98517977,21257,Customer,1949,male,4174.126832,51.21666667,71,3,7,10,yes
1731,2016-09-10 13:14:27 UTC,2016-09-10 13:43:18 UTC,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3373,3 St & 3 Ave,40.6750705,-73.98775226,23825,Customer,1957,female,1707.598259,28.85,63,3,7,13,no
955,2016-09-25 13:39:03 UTC,2016-09-25 13:54:59 UTC,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,19804,Customer,1955,male,1978.321615,15.91666667,65,3,1,13,no
2381,2016-09-07 10:51:24 UTC,2016-09-07 11:31:05 UTC,447,8 Ave & W 52 St,40.76370739,-73.9851615,524,W 43 St & 6 Ave,40.75527307,-73.98316936,26455,Customer,1956,male,952.7461692,39.68333333,64,3,4,10,yes
1781,2016-08-29 19:06:57 UTC,2016-08-29 19:36:39 UTC,2000,Front St & Washington St,40.70255088,-73.98940236,3078,Broadway & Roebling St,40.70925562,-73.95982218,15540,Customer,1955,male,2602.484849,29.68333333,65,3,2,19,no
1274,2016-08-27 12:29:38 UTC,2016-08-27 12:50:52 UTC,3287,W 87 St & West End Ave,40.790261,-73.977131,3287,W 87 St & West End Ave,40.790261,-73.977131,15629,Customer,1946,male,0,21.23333333,74,3,7,12,no
